Aviso;Fecha;Ubicación técnica;Ce.coste;Equipo;IniAvería;FinAvería;HIniAver;HFinAver; DurParada;Un.;Cl.;Creado el;Autor aviso;Orden;Cierre;PerfCatál;IntRespEj;Ejecutante
10065894;24.06.2024;SPEQ-TEMA-T066;13263;12002194;24.06.2024;24.06.2024;2:52:00;3:09:00;0,28;H;A1;24.06.2024;YANO;;24.06.2024;TRACTERM;10001793;47
10065895;24.06.2024;SPEQ-TEMA-RT39;13255;12004748;24.06.2024;24.06.2024;3:03:00;3:11:00;0,13;H;A1;24.06.2024;YANO;;24.06.2024;GRURTG;10000398;47
10065896;24.06.2024;SPEQ-TEMA-RT36;13254;12002046;24.06.2024;24.06.2024;7:20:00;8:20:00;1;H;A1;24.06.2024;EDWARS;100026522;27.06.2024;GRURTG;10000504;47
10065897;24.06.2024;SPEQ-TEMA-RT42;13255;12003618;24.06.2024;24.06.2024;10:20:00;10:40:00;0,33;H;A1;24.06.2024;EDWARS;100026523;27.06.2024;SPREADER;10001664;47
10065898;24.06.2024;SPEQ-TEMA-GP13;13223;12003666;24.06.2024;24.06.2024;7:28:00;7:33:00;0,08;H;A1;24.06.2024;EDWARS;;27.06.2024;GRUSTS;10000504;47
10065899;24.06.2024;SPEQ-TEMA-RT28;13254;12004610;24.06.2024;24.06.2024;10:20:00;10:45:00;0,42;H;A1;24.06.2024;EDWARS;;27.06.2024;GRURTG;10001664;47
10065900;24.06.2024;SPEQ-TEMA-TL04;13294;12002214;24.06.2024;24.06.2024;7:00:00;7:30:00;0,5;H;A1;24.06.2024;EDWARS;;27.06.2024;TRULIFT;10001437;47
10065901;24.06.2024;SPEQ-TEMA-GP12;13222;12003626;24.06.2024;24.06.2024;11:14:00;11:23:00;0,15;H;A1;24.06.2024;EDWARS;;27.06.2024;GRUSTS;10000504;47
10065902;24.06.2024;SPEQ-TEMA-T082;13264;12003377;24.06.2024;24.06.2024;15:55:00;16:05:00;0,17;H;A1;24.06.2024;LUISM;;25.06.2024;TRACTERM;10001665;47
10065903;24.06.2024;SPEQ-TEMA-RT36;13254;12004682;24.06.2024;24.06.2024;16:43:00;16:47:00;0,07;H;A1;24.06.2024;LUISM;;03.07.2024;GRURTG;10001665;47
10065904;24.06.2024;SPEQ-TEMA-RT28;13254;12002038;24.06.2024;24.06.2024;16:43:00;16:49:00;0,1;H;A1;24.06.2024;LUISM;;25.06.2024;GRURTG;10001665;47
10065905;24.06.2024;SPEQ-TEMA-T053;13263;12002181;24.06.2024;24.06.2024;18:35:00;19:05:00;0,5;H;A1;24.06.2024;LUISM;;25.06.2024;TRACTERM;10000181;47
10065906;24.06.2024;SPEQ-TEMA-GP09;13219;12003098;24.06.2024;24.06.2024;19:16:00;19:21:00;0,08;H;A1;24.06.2024;LUISM;;25.06.2024;GRUSTS;10000177;47
10065907;24.06.2024;SPEQ-TEMA-T034-MOT;13262;12002372;24.06.2024;24.06.2024;20:44:00;20:57:00;0,22;H;A1;24.06.2024;LUISM;;25.06.2024;M-DIES-T;10000181;47
10065909;24.06.2024;SPEQ-TEMA-RT13-SPRE;13252;12002579;24.06.2024;24.06.2024;21:31:00;21:40:00;0,15;H;A1;24.06.2024;YANO;;24.06.2024;SPREADER;10000398;47
10065910;24.06.2024;SPEQ-TEMA-T104;13264;12003399;25.06.2024;25.06.2024;1:00:00;1:10:00;0,17;H;A1;25.06.2024;YANO;;25.06.2024;TRACTERM;10000660;47
10065911;25.06.2024;SPEQ-TEMA-T066;13263;12002194;24.06.2024;24.06.2024;23:21:00;23:38:00;0,28;H;A1;25.06.2024;YANO;;25.06.2024;TRACTERM;10001114;47
10065912;25.06.2024;SPEQ-TEMA-RS15-SPRE;13246;12002930;25.06.2024;25.06.2024;8:20:00;8:45:00;0,42;H;A1;25.06.2024;EDWARS;100026527;27.06.2024;SPRE-TER;10001437;47
10065913;25.06.2024;SPEQ-TEMA-RT28;13254;12005629;25.06.2024;25.06.2024;10:10:00;10:50:00;0,67;H;A1;25.06.2024;EDWARS;;27.06.2024;GRURTG;10001664;47
10065914;25.06.2024;SPEQ-TEMA-RS12-SPRE;13246;12002927;25.06.2024;25.06.2024;19:45:21;20:05:00;0,33;H;A1;25.06.2024;DOUGLASB;;27.06.2024;SPRE-TER;30000247;142
10065915;25.06.2024;SPEQ-TEMA-RS08-SPRE;13245;12002432;25.06.2024;25.06.2024;21:00:00;22:29:00;1,48;H;A1;25.06.2024;LUISM;100026528;26.06.2024;SPRE-TER;10000181;47
10065916;25.06.2024;SPEQ-TEMA-RS15-SPRE;13246;12002930;25.06.2024;25.06.2024;21:40:00;21:50:00;0,17;H;A1;25.06.2024;LUISM;;26.06.2024;SPRE-TER;10000181;47
10065917;26.06.2024;SPEQ-TEMA-TL06;13294;12002216;26.06.2024;26.06.2024;15:30:00;19:00:00;3,5;H;A1;26.06.2024;EDWARS;;27.06.2024;TRULIFT;10001437;47
10065918;27.06.2024;SPEQ-TEMA-TL01-MOT;13294;12002264;26.06.2024;26.06.2024;22:27:00;23:20:00;0,88;H;A1;27.06.2024;LUISM;;27.06.2024;M-DIES-T;10000181;47
10065919;27.06.2024;SPEQ-TEMA-T100-MOT;13264;12003567;26.06.2024;26.06.2024;21:00:00;21:10:00;0,17;H;A1;27.06.2024;LUISM;;27.06.2024;M-DIES-T;10001665;47
10065920;27.06.2024;SPEQ-TEMA-RT36;13254;12004682;26.06.2024;26.06.2024;23:05:00;23:09:00;0,07;H;A1;27.06.2024;LUISM;;27.06.2024;GRURTG;10000481;47
10065921;27.06.2024;SPEQ-TEMA-T106;13264;12003401;27.06.2024;27.06.2024;14:20:00;14:52:00;0,53;H;A1;27.06.2024;YANO;100026529;27.06.2024;TRACTERM;10001250;47
10065922;27.06.2024;SPEQ-TEMA-T100-MOT;13264;12003567;27.06.2024;;17:20:00;0:00:00;0;H;A1;27.06.2024;YANO;100026530;27.06.2024;M-DIES-T;10000398;47
10065923;27.06.2024;SPEQ-TEMA-RS13;13246;12002233;27.06.2024;27.06.2024;18:10:00;18:38:00;0,47;H;A1;27.06.2024;YANO;100026531;27.06.2024;REASTAKE;10001114;47
10065924;27.06.2024;SPEQ-TEMA-T100;13264;12003395;27.06.2024;27.06.2024;15:30:00;15:48:00;0,3;H;A1;27.06.2024;YANO;;27.06.2024;TRACTERM;10001114;47
10065925;27.06.2024;SPEQ-TEMA-RS08;13245;12002432;27.06.2024;27.06.2024;15:44:00;16:22:00;0,63;H;A1;27.06.2024;YANO;;27.06.2024;SPRE-TER;10001114;47
10065926;28.06.2024;SPEQ-TEMA-GP10;13220;12003118;28.06.2024;28.06.2024;20:22:25;20:28:00;0,09;H;A1;28.06.2024;DOUGLASB;;29.06.2024;GRUSTS;10000774;142
10065927;29.06.2024;SPEQ-TEMA-RT42;13255;12004623;29.06.2024;29.06.2024;1:05:00;1:20:00;0,25;H;A1;29.06.2024;EDWARS;;29.06.2024;GRURTG;10000504;47
10065928;29.06.2024;SPEQ-TEMA-TL06;13294;12002216;29.06.2024;29.06.2024;6:00:00;14:00:00;3;H;A1;29.06.2024;YANO;100026532;03.07.2024;TRULIFT;;47
10065929;29.06.2024;SPEQ-TEMA-RT24;13254;12004670;29.06.2024;29.06.2024;7:50:00;8:00:00;0,17;H;A1;29.06.2024;YANO;;29.06.2024;GRURTG;10000660;47
10065930;29.06.2024;SPEQ-TEMA-T085-MOT;13264;12003552;29.06.2024;29.06.2024;16:10:00;16:17:00;0,12;H;A1;29.06.2024;LUISM;100026533;30.06.2024;M-DIES-T;10000181;47
10065931;29.06.2024;SPEQ-TEMA-GP13;13223;12003633;29.06.2024;29.06.2024;16:42:00;17:44:00;1,03;H;A1;29.06.2024;LUISM;100026534;30.06.2024;GRUSTS;10000177;47
10065932;29.06.2024;SPEQ-TEMA-T059;13263;12002187;29.06.2024;29.06.2024;17:50:00;18:20:00;0,5;H;A1;29.06.2024;LUISM;100026535;30.06.2024;TRACTERM;10000181;47
10065933;29.06.2024;SPEQ-TEMA-T060-MOT;13263;12003527;29.06.2024;29.06.2024;14:13:00;14:44:00;0,52;H;A1;29.06.2024;LUISM;;30.06.2024;M-DIES-T;10000181;47
10065934;29.06.2024;SPEQ-TEMA-RT31;13254;12002041;29.06.2024;29.06.2024;14:00:00;14:18:00;0,3;H;A1;29.06.2024;LUISM;;30.06.2024;GRURTG;10000481;47
10065935;29.06.2024;SPEQ-TEMA-T098-TRAN;13264;12004394;29.06.2024;29.06.2024;14:15:00;14:35:00;0,33;H;A1;29.06.2024;LUISM;;30.06.2024;TTTRANS;10000181;47
10065936;29.06.2024;SPEQ-TEMA-RT38;13255;12003689;29.06.2024;29.06.2024;15:38:00;15:44:00;0,1;H;A1;29.06.2024;LUISM;;30.06.2024;GRURTG;10000481;47
10065937;29.06.2024;SPEQ-TEMA-RT39;13255;12004684;29.06.2024;29.06.2024;16:53:00;16:58:00;0,08;H;A1;29.06.2024;LUISM;;30.06.2024;GRURTG;10000481;47
10065938;29.06.2024;SPEQ-TEMA-T061-MOT;13263;12003528;29.06.2024;29.06.2024;16:05:00;16:12:00;0,12;H;A1;29.06.2024;LUISM;;30.06.2024;M-DIES-T;10001665;47
10065939;29.06.2024;SPEQ-TEMA-T072;13263;12002200;29.06.2024;29.06.2024;15:56:00;16:05:00;0,15;H;A1;29.06.2024;LUISM;;30.06.2024;TRACTERM;10001665;47
10065940;30.06.2024;SPEQ-TEMA-T070-TRAN;13263;12003021;30.06.2024;;5:48:18;0:00:00;0;H;A1;30.06.2024;DOUGLASB;;30.06.2024;TTTRANS;30000247;142
10065941;30.06.2024;SPEQ-TEMA-T098-TRAN;13264;12004394;30.06.2024;30.06.2024;8:40:00;9:10:00;0,5;H;A1;30.06.2024;LUISM;100026536;30.06.2024;TTTRANS;10000181;47
10065942;30.06.2024;SPEQ-TEMA-TL01;13294;12002211;30.06.2024;30.06.2024;9:10:00;9:30:00;0,33;H;A1;30.06.2024;LUISM;100026537;30.06.2024;TRULIFT;10000181;47
10065943;30.06.2024;SPEQ-TEMA-T054-MOT;13263;12003521;30.06.2024;30.06.2024;10:54:00;14:00:00;3,1;H;A1;30.06.2024;LUISM;100026538;02.07.2024;M-DIES-T;10000181;47
10065944;30.06.2024;SPEQ-TEMA-RT40;13255;12003691;30.06.2024;30.06.2024;6:36:00;6:46:00;0,17;H;A1;30.06.2024;EDWARDOC;;30.06.2024;GRURTG;10000181;47
10065945;30.06.2024;SPEQ-TEMA-TL05;13294;12002215;30.06.2024;30.06.2024;8:00:00;8:19:00;0,32;H;A1;30.06.2024;LUISM;100026567;09.07.2024;TRULIFT;10000181;47
10065946;30.06.2024;SPEQ-TEMA-T061-MOT;13263;12003528;30.06.2024;30.06.2024;16:21:00;16:53:00;0,53;H;A1;30.06.2024;YANO;100026539;30.06.2024;M-DIES-T;10000398;47
10065947;30.06.2024;SPEQ-TEMA-RT24;13254;12004670;30.06.2024;30.06.2024;19:11:00;19:18:00;0,12;H;A1;30.06.2024;YANO;;30.06.2024;GRURTG;10001793;47
10065948;01.07.2024;SPEQ-TEMA-TL01;13294;12002211;30.06.2024;01.07.2024;23:47:06;0:20:00;0,55;H;A1;01.07.2024;DOUGLASB;100026540;02.07.2024;TRULIFT;10000774;142
10065949;01.07.2024;SPEQ-TEMA-T068-MOT;13263;12003535;01.07.2024;01.07.2024;3:33:55;3:53:00;0,32;H;A1;01.07.2024;DOUGLASB;;07.07.2024;M-DIES-T;246;142
10065950;01.07.2024;SPEQ-TEMA-T093;13264;12003388;01.07.2024;01.07.2024;8:30:00;9:00:00;0,5;H;A1;01.07.2024;LUISM;100026541;05.07.2024;TRACTERM;10000181;47
10065951;01.07.2024;SPEQ-TEMA-GP11;13221;12003643;01.07.2024;01.07.2024;8:24:00;8:44:00;0,33;H;A1;01.07.2024;LUISM;;05.07.2024;GRUSTS;10000177;47
10065952;01.07.2024;SPEQ-TEMA-RT36;13254;12004682;01.07.2024;01.07.2024;10:58:00;11:02:00;0,07;H;A1;01.07.2024;LUISM;;05.07.2024;GRURTG;10000481;47
10065953;01.07.2024;SPEQ-TEMA-RT41;13255;12004622;01.07.2024;01.07.2024;7:10:00;7:13:00;0,05;H;A1;01.07.2024;LUISM;;05.07.2024;GRURTG;10000481;47
10065954;01.07.2024;SPEQ-TEMA-RT41;13255;12004686;01.07.2024;01.07.2024;7:38:00;7:45:00;0,12;H;A1;01.07.2024;LUISM;;05.07.2024;GRURTG;10000481;47
10065955;01.07.2024;SPEQ-TEMA-RT28;13254;12002038;01.07.2024;01.07.2024;11:10:00;11:20:00;0,17;H;A1;01.07.2024;LUISM;;05.07.2024;GRURTG;10000481;47
10065956;01.07.2024;SPEQ-TEMA-P070;13282;12002119;01.07.2024;01.07.2024;17:10:00;17:40:00;0,5;H;A1;01.07.2024;EDWARS;100026542;22.07.2024;PLATAFOR;10000504;47
10065957;01.07.2024;SPEQ-TEMA-RT30;13254;12006212;01.07.2024;01.07.2024;20:00:00;20:45:00;0,75;H;A1;01.07.2024;EDWARS;100026543;22.07.2024;GRUSTS;10000504;47
10065958;02.07.2024;SPEQ-TEMA-TL01;13294;12002211;02.07.2024;02.07.2024;1:55:00;2:14:00;0,32;H;A1;02.07.2024;YANO;;02.07.2024;TRULIFT;10001114;47
10065959;02.07.2024;SPEQ-TEMA-RS08;13245;12002228;02.07.2024;02.07.2024;12:40:00;13:10:00;0,5;H;A1;02.07.2024;EDWARS;;02.07.2024;REASTAKE;222;47
10065960;02.07.2024;SPEQ-TEMA-TL07-MOT;13294;12004411;02.07.2024;02.07.2024;17:44:00;18:45:00;1,02;H;A1;02.07.2024;LUISM;100026544;05.07.2024;M-DIES-T;10000177;47
10065961;02.07.2024;SPEQ-TEMA-RT36;13254;12002046;02.07.2024;02.07.2024;14:56:00;15:05:00;0,15;H;A1;02.07.2024;LUISM;;05.07.2024;GRURTG;10000481;47
10065962;02.07.2024;SPEQ-TEMA-RT30;13254;12002040;02.07.2024;02.07.2024;15:06:00;15:10:00;0,07;H;A1;02.07.2024;LUISM;;05.07.2024;GRURTG;10000481;47
10065963;02.07.2024;SPEQ-TEMA-RT25;13254;12002035;02.07.2024;02.07.2024;17:40:00;19:07:00;1,45;H;A1;02.07.2024;LUISM;;05.07.2024;GRURTG;10001665;47
10065964;02.07.2024;SPEQ-TEMA-RT24;13254;12002034;02.07.2024;02.07.2024;19:16:00;19:19:00;0,05;H;A1;02.07.2024;LUISM;;05.07.2024;GRURTG;10001665;47
10065965;02.07.2024;SPEQ-TEMA-T028-MOT;13262;12002365;02.07.2024;02.07.2024;14:30:00;14:45:00;0,25;H;A1;02.07.2024;LUISM;;05.07.2024;M-DIES-T;10000181;47
10065966;02.07.2024;SPEQ-TEMA-T047-MOT;13262;12002386;02.07.2024;02.07.2024;15:00:00;15:15:00;0,25;H;A1;02.07.2024;LUISM;;05.07.2024;M-DIES-T;10000181;47
10065967;02.07.2024;SPEQ-TEMA-T026-MOT;13262;12002363;02.07.2024;02.07.2024;14:40:00;15:00:00;0,33;H;A1;02.07.2024;LUISM;;05.07.2024;M-DIES-T;10000181;47
10065968;02.07.2024;SPEQ-TEMA-RT25;13254;12003008;02.07.2024;02.07.2024;21:11:00;21:31:00;0,33;H;A1;02.07.2024;LUISM;100026545;03.07.2024;MOTODIES;10001793;47
10065969;02.07.2024;SPEQ-TEMA-RT25;13254;12004671;02.07.2024;02.07.2024;20:11:00;20:20:00;0,15;H;A1;02.07.2024;LUISM;;05.07.2024;GRURTG;10000481;47
10065970;03.07.2024;SPEQ-TEMA-RT35;13254;12004681;02.07.2024;02.07.2024;21:29:00;21:35:00;0,1;H;A1;03.07.2024;YANO;;03.07.2024;GRURTG;10000660;47
10065971;03.07.2024;SPEQ-TEMA-RT33;13254;12002043;02.07.2024;02.07.2024;21:40:00;22:10:00;0,5;H;A1;03.07.2024;YANO;;03.07.2024;GRURTG;10000660;47
10065972;03.07.2024;SPEQ-TEMA-T040;13262;12002168;02.07.2024;02.07.2024;23:35:00;23:48:00;0,22;H;A1;03.07.2024;YANO;;03.07.2024;TRACTERM;10001793;47
10065973;03.07.2024;SPEQ-TEMA-T028-MOT;13262;12002365;03.07.2024;03.07.2024;1:21:00;1:25:00;0,07;H;A1;03.07.2024;YANO;;03.07.2024;M-DIES-T;10001114;47
10065974;03.07.2024;SPEQ-TEMA-T094;13264;12003389;03.07.2024;03.07.2024;9:10:00;9:30:00;0,33;H;A1;03.07.2024;EDWARS;100026546;22.07.2024;TRACTERM;10001664;47
10065975;03.07.2024;SPEQ-TEMA-T066;13263;12002194;03.07.2024;03.07.2024;16:40:05;19:00:00;2,33;H;A1;03.07.2024;DOUGLASB;100026547;07.07.2024;TRACTERM;30000247;142
10065976;03.07.2024;SPEQ-TEMA-RT25;13254;12006207;03.07.2024;03.07.2024;14:00:28;14:30:00;0,49;H;A1;03.07.2024;DOUGLASB;;07.07.2024;GRUSTS;10001765;142
10065977;04.07.2024;SPEQ-TEMA-EC06;13293;12002209;04.07.2024;04.07.2024;3:00:00;4:00:00;1;H;A1;04.07.2024;LUISM;100026548;05.07.2024;EMPTY;10000181;47
10065978;04.07.2024;SPEQ-TEMA-RT24;13254;12002034;04.07.2024;04.07.2024;1:27:00;1:43:00;0,27;H;A1;04.07.2024;LUISM;;05.07.2024;GRURTG;10000177;47
10065979;04.07.2024;SPEQ-TEMA-RT39;13255;12003615;03.07.2024;03.07.2024;22:13:00;22:38:00;0,42;H;A1;04.07.2024;LUISM;;05.07.2024;SPREADER;10000481;47
10065980;04.07.2024;SPEQ-TEMA-GP12;13222;12003662;04.07.2024;04.07.2024;3:57:00;4:05:00;0,13;H;A1;04.07.2024;LUISM;;05.07.2024;GRUSTS;10000177;47
10065981;04.07.2024;SPEQ-TEMA-EC06;13293;12002209;04.07.2024;04.07.2024;10:30:47;10:40:00;0,15;H;A1;04.07.2024;DOUGLASB;;07.07.2024;EMPTY;30000247;142
10065982;04.07.2024;SPEQ-TEMA-TL03;13294;12002213;04.07.2024;04.07.2024;14:40:40;15:00:00;0,32;H;A1;04.07.2024;EDWARS;;22.07.2024;TRULIFT;10001437;47
10065983;04.07.2024;SPEQ-TEMA-TL01;13294;12002211;04.07.2024;05.07.2024;23:19:00;2:00:00;2,68;H;A1;04.07.2024;LUISM;100026549;20.07.2024;TRULIFT;10000181;47
10065984;05.07.2024;SPEQ-TEMA-P066;13282;12002115;05.07.2024;05.07.2024;0:25:00;1:00:00;0,58;H;A1;05.07.2024;LUISM;;20.07.2024;PLATAFOR;10000181;47
10065985;05.07.2024;SPEQ-TEMA-RT42;13255;12004751;05.07.2024;05.07.2024;4:47:00;4:52:00;0,08;H;A1;05.07.2024;LUISM;;21.07.2024;GRURTG;10000481;47
10065986;05.07.2024;SPEQ-TEMA-RT28;13254;12002038;05.07.2024;05.07.2024;1:25:00;1:32:00;0,12;H;A1;05.07.2024;LUISM;;21.07.2024;GRURTG;10000481;47
10065987;05.07.2024;SPEQ-TEMA-P070;13282;12002119;05.07.2024;05.07.2024;16:25:01;16:56:00;0,52;H;A1;05.07.2024;YANO;100026550;05.07.2024;PLATAFOR;10000398;47
10065988;05.07.2024;SPEQ-TEMA-TL06;13294;12002216;05.07.2024;05.07.2024;15:40:00;16:05:00;0,42;H;A1;05.07.2024;YANO;100026551;05.07.2024;TRULIFT;10000398;47
10065989;05.07.2024;SPEQ-TEMA-RT33;13254;12004615;05.07.2024;05.07.2024;16:01:00;16:17:00;0,27;H;A1;05.07.2024;YANO;;05.07.2024;GRURTG;10000660;47
10065990;05.07.2024;SPEQ-TEMA-RT24;13254;12005625;05.07.2024;05.07.2024;17:05:00;17:15:00;0,17;H;A1;05.07.2024;YANO;;05.07.2024;GRURTG;10000660;47
10065991;05.07.2024;SPEQ-TEMA-EC06;13293;12002209;05.07.2024;05.07.2024;20:08:57;20:55:00;0,77;H;A1;05.07.2024;YANO;100026552;25.07.2024;EMPTY;10001114;47
10065992;05.07.2024;SPEQ-TEMA-EC06;13293;12002209;05.07.2024;05.07.2024;21:00:30;22:00:00;0,99;H;A1;05.07.2024;EDWARS;100026553;22.07.2024;EMPTY;10001437;47
10065993;06.07.2024;SPEQ-TEMA-T055;13263;12002183;06.07.2024;06.07.2024;2:25:00;3:00:00;0,58;H;A1;06.07.2024;EDWARS;100026554;07.07.2024;TRACTERM;10001437;47
10065994;06.07.2024;SPEQ-TEMA-TL06;13294;12002216;06.07.2024;06.07.2024;3:50:34;4:45:00;0,91;H;A1;06.07.2024;EDWARS;;07.07.2024;TRULIFT;10000504;47
10065995;06.07.2024;SPEQ-TEMA-RS12;13246;12002927;06.07.2024;06.07.2024;5:00:00;5:45:00;0,75;H;A1;06.07.2024;EDWARS;100026555;07.07.2024;SPRE-TER;10001437;47
10065996;06.07.2024;SPEQ-TEMA-GP13;13223;12003666;06.07.2024;06.07.2024;2:10:00;2:16:00;0,1;H;A1;06.07.2024;EDWARS;;07.07.2024;GRUSTS;10001664;47
10065997;06.07.2024;SPEQ-TEMA-T100;13264;12003395;06.07.2024;06.07.2024;6:35:00;6:50:00;0,25;H;A1;06.07.2024;YANO;100026556;06.07.2024;TRACTERM;10001793;47
10065998;06.07.2024;SPEQ-TEMA-TL09-MOT;13294;12004421;06.07.2024;06.07.2024;7:24:56;7:34:00;0,15;H;A1;06.07.2024;YANO;100026557;06.07.2024;M-DIES-T;10001114;47
10065999;06.07.2024;SPEQ-TEMA-T107-MOT;13264;12003574;06.07.2024;06.07.2024;8:38:00;8:50:00;0,2;H;A1;06.07.2024;YANO;100026558;06.07.2024;M-DIES-T;10001793;47
10066000;06.07.2024;SPEQ-TEMA-GP09;13219;12001971;06.07.2024;06.07.2024;9:25:00;9:43:00;0,3;H;A1;06.07.2024;YANO;;06.07.2024;SPREADER;10000660;47
10066001;06.07.2024;SPEQ-TEMA-GP13;13223;12003666;06.07.2024;06.07.2024;7:24:00;7:30:00;0,1;H;A1;06.07.2024;YANO;;06.07.2024;GRUSTS;10000660;47
10066002;06.07.2024;SPEQ-TEMA-RT31;13254;12004677;06.07.2024;06.07.2024;10:21:00;10:43:00;0,37;H;A1;06.07.2024;YANO;;06.07.2024;GRURTG;10000398;47
10066003;06.07.2024;SPEQ-TEMA-T076;13264;12003370;04.05.2024;04.05.2024;9:22:00;9:45:00;0,38;H;A1;06.07.2024;YANO;;06.07.2024;TRACTERM;10000398;47
10066004;06.07.2024;SPEQ-TEMA-RT28;13254;12004642;06.07.2024;06.07.2024;16:05:19;16:25:00;0,33;H;A1;06.07.2024;DOUGLASB;;07.07.2024;GRURTG;10001765;142
10066005;06.07.2024;SPEQ-TEMA-T068;13263;12002196;06.07.2024;06.07.2024;22:00:00;22:30:00;0,5;H;A1;06.07.2024;EDWARS;100026559;22.07.2024;TRACTERM;10001437;47
10066006;06.07.2024;SPEQ-TEMA-RT38;13255;12004779;06.07.2024;06.07.2024;23:00:00;23:45:00;0,75;H;A1;06.07.2024;EDWARS;100026560;22.07.2024;GRURTG;10001664;47
10066007;07.07.2024;SPEQ-TEMA-T070-MOT;13263;12003537;07.07.2024;07.07.2024;1:10:00;1:30:00;0,33;H;A1;07.07.2024;EDWARS;100026561;22.07.2024;M-DIES-T;10001664;47
10066008;07.07.2024;SPEQ-TEMA-GP13;13223;12003612;07.07.2024;07.07.2024;2:04:00;2:15:00;0,18;H;A1;07.07.2024;EDWARS;;22.07.2024;SPREADER;10000504;47
10066009;07.07.2024;;13219;12003609;07.07.2024;;7:55:23;0:00:00;0;H;A1;07.07.2024;YANO;100026562;;SPREADER;;47
10066010;07.07.2024;SPEQ-TEMA-T066-MOT;13263;12003533;07.07.2024;07.07.2024;9:38:00;9:56:00;0,3;H;A1;07.07.2024;YANO;;07.07.2024;M-DIES-T;10001793;47
10066011;30.06.2024;SPEQ-TEMA-RT36;13254;12004682;07.07.2024;07.07.2024;9:53:00;10:02:00;0,15;H;A1;07.07.2024;YANO;;07.07.2024;GRURTG;10000660;47
10066012;07.07.2024;SPEQ-TEMA-RT40;13255;12004749;07.07.2024;07.07.2024;7:48:00;7:55:00;0,12;H;A1;07.07.2024;YANO;;07.07.2024;GRURTG;10000398;47
10066013;07.07.2024;SPEQ-TEMA-RT36;13254;12004746;07.07.2024;07.07.2024;10:45:00;10:57:00;0,2;H;A1;07.07.2024;YANO;;07.07.2024;GRURTG;10000660;47
10066014;07.07.2024;SPEQ-TEMA-RT25;13254;12006207;07.07.2024;07.07.2024;8:58:00;9:08:00;0,17;H;A1;07.07.2024;YANO;;07.07.2024;GRUSTS;10000660;47
10066015;07.07.2024;SPEQ-TEMA-RT38;13255;12003689;07.07.2024;07.07.2024;7:33:00;7:40:00;0,12;H;A1;07.07.2024;YANO;;07.07.2024;GRURTG;10000398;47
10066016;07.07.2024;SPEQ-TEMA-TL05;13294;12002215;07.07.2024;;10:44:00;0:00:00;0;H;A1;07.07.2024;YANO;100026563;;TRULIFT;10001114;47
10066017;07.07.2024;SPEQ-TEMA-EC06;13293;12002209;07.07.2024;07.07.2024;10:45:00;11:18:00;0,55;H;A1;07.07.2024;YANO;;07.07.2024;EMPTY;10001114;47
10066019;07.07.2024;SPEQ-TEMA-RT36;13254;12002046;07.07.2024;07.07.2024;9:26:00;9:39:00;0,22;H;A1;07.07.2024;YANO;;07.07.2024;GRURTG;10000490;47
10066020;08.07.2024;SPEQ-TEMA-RT34;13254;12003001;08.07.2024;08.07.2024;9:30:00;9:50:00;0,33;H;A1;08.07.2024;LUISM;100026564;21.07.2024;MOTODIES;10001665;47
10066021;08.07.2024;SPEQ-TEMA-RT36;13254;12004714;08.07.2024;08.07.2024;7:58:00;8:20:00;0,37;H;A1;08.07.2024;LUISM;;21.07.2024;GRURTG;10000481;47
10066022;08.07.2024;SPEQ-TEMA-T066-MOT;13263;12003533;08.07.2024;08.07.2024;10:00:00;10:24:00;0,4;H;A1;08.07.2024;LUISM;;20.07.2024;M-DIES-T;10000181;47
10066023;08.07.2024;SPEQ-TEMA-P106;13283;12003442;08.07.2024;08.07.2024;14:52:00;15:34:00;0,7;H;A1;08.07.2024;YANO;;08.07.2024;PLATAFOR;10001793;47
10066024;08.07.2024;SPEQ-TEMA-T071-MOT;13263;12003538;08.07.2024;08.07.2024;14:45:00;15:03:00;0,3;H;A1;08.07.2024;YANO;;08.07.2024;M-DIES-T;10000398;47
10066025;08.07.2024;SPEQ-TEMA-TL01;13294;12002211;08.07.2024;08.07.2024;14:56:00;15:38:00;0,7;H;A1;08.07.2024;YANO;;08.07.2024;TRULIFT;10001114;47
10066026;08.07.2024;SPEQ-TEMA-RT25;13254;12003008;08.07.2024;08.07.2024;18:33:00;18:44:00;0,18;H;A1;08.07.2024;YANO;;08.07.2024;MOTODIES;10000398;47
10066027;08.07.2024;SPEQ-TEMA-RT28;13254;12002972;08.07.2024;08.07.2024;18:40:00;19:14:00;0,57;H;A1;08.07.2024;YANO;;08.07.2024;SPREADER;10000660;47
10066028;08.07.2024;SPEQ-TEMA-RS07;13245;12002431;08.07.2024;08.07.2024;18:40:00;19:14:00;0,57;H;A1;08.07.2024;YANO;;08.07.2024;SPRE-TER;10001114;47
10066029;08.07.2024;SPEQ-TEMA-RT36;13254;12004714;08.07.2024;08.07.2024;16:27:00;16:32:00;0,08;H;A1;08.07.2024;YANO;;08.07.2024;GRURTG;10000660;47
10066030;09.07.2024;SPEQ-TEMA-TL02;13294;;09.07.2024;09.07.2024;7:50:00;8:05:00;0,25;H;A1;09.07.2024;LUISM;100026565;20.07.2024;T-AVERIA;10000181;47
10066031;09.07.2024;SPEQ-TEMA-TL07;13294;12002217;09.07.2024;09.07.2024;11:50:00;13:00:00;1,17;H;A1;09.07.2024;LUISM;100026566;20.07.2024;TRULIFT;10000181;47
